IED_COUNTER, IED_INTERPOLATED, IED_AF3, IED_F7, IED_F3, IED_FC5, IED_T7, IED_P7, IED_O1, IED_O2, IED_P8, IED_T8, IED_FC6, IED_F4, IED_F8, IED_AF4, IED_RAW_CQ, IED_GYROX, IED_GYROY, IED_MARKER, IED_TIMESTAMP,
128,0,932.821,8383.08,5493.33,3171.79,4736.41,5992.31,5253.33,6542.56,6081.54,7363.08,1983.59,8308.72,6132.82,2003.59,15550,2917,3870,0,0.704,
126,0,2961.54,630.256,4618.46,8398.46,3730.77,2909.74,6246.15,5282.56,258.462,313.846,2713.85,7942.56,2858.46,3703.59,686,2826,2854,0,0.711816,
128,0,984.103,1104.62,8316.92,5211.79,1865.64,6047.18,2556.41,3494.87,5652.82,4634.87,2513.33,484.103,4651.79,7409.23,6855,3615,4050,0,0.727448,
107,0,1825.13,4145.13,1150.26,2855.9,7182.56,6065.64,2402.56,211.795,3884.1,884.103,5343.08,8096.41,4810.77,1608.21,16137,533,117,0,1.57159,
128,0,2300,24.1026,7925.13,5114.87,5914.87,6308.72,2663.08,6689.23,4934.87,8240,6242.05,5404.1,333.333,2632.31,300,2028,3456,0,1.73573,
128,0,7009.23,6470.26,4048.72,6407.18,4729.74,5760,2978.46,4651.28,4957.95,229.231,6895.38,8367.18,4964.1,463.59,15116,1157,930,0,1.73573,
128,0,447.179,6580,5629.23,7861.03,3336.41,1490.26,2109.23,4884.1,3480,7985.13,7811.28,4979.49,1822.56,2302.05,6483,2430,2277,0,1.73573,
128,0,4925.64,3943.08,7451.28,5457.44,5876.41,4953.33,6314.36,8225.64,3945.13,207.692,1896.41,4469.74,5898.97,6654.87,14887,2480,2277,0,1.73573,
128,0,4857.95,723.077,4510.26,7630.77,5341.54,3573.85,175.897,6836.92,8381.03,6510.77,7963.08,7731.79,8100,6920,1161,292,1261,0,1.73573,
128,0,6821.03,1144.62,7743.59,6084.1,6118.46,133.333,5037.44,3301.54,7327.18,738.974,5707.18,4995.38,7860,1156.41,10816,1438,3218,0,1.73573,
122,0,2661.54,6065.64,289.231,7021.03,2245.64,7255.9,819.487,3375.9,945.128,1235.38,5649.74,291.795,37.9487,2174.36,13034,3603,3554,0,2.69712,
128,0,8027.18,4512.82,3831.28,1034.87,87.1795,8062.56,551.795,1691.28,7986.67,4113.85,6035.38,7890.77,5457.95,7252.82,988,1197,3452,0,2.74402,
128,0,5511.79,4234.87,2605.13,5477.95,2416.92,4452.82,3596.92,7901.54,5142.05,7981.03,1892.82,2060.51,3121.03,6816.92,10045,2977,2658,0,2.74402,
128,0,4614.87,1964.62,2680.51,1026.15,2216.92,8337.44,787.179,7302.05,8378.46,4333.85,6998.97,216.41,24.1026,3446.15,6136,400,990,0,2.74402,
126,0,3578.46,6450.77,7770.77,4835.38,2907.69,872.308,1799.49,3427.18,802.051,6157.44,5.64103,989.744,7800,6429.74,15344,2208,160,0,3.73667,
128,0,2785.13,5484.62,2776.92,4272.82,756.923,5452.82,5887.69,15.3846,8314.87,2552.82,2155.9,670.769,3954.36,4420,15061,3640,578,0,3.7523,
114,0,6036.92,4068.72,4151.28,6688.21,3002.05,5190.77,3941.03,5864.62,4618.97,2492.82,6970.26,1592.31,1731.79,4195.9,13711,2088,602,0,4.65116,
118,0,3341.03,6757.44,191.282,4568.72,4966.67,6314.36,1286.15,375.897,5715.9,5381.03,6078.97,1831.79,6510.26,6682.05,16328,1792,1913,0,4.68243,
