IED_COUNTER, IED_INTERPOLATED, IED_AF3, IED_F7, IED_F3, IED_FC5, IED_T7, IED_P7, IED_O1, IED_O2, IED_P8, IED_T8, IED_FC6, IED_F4, IED_F8, IED_AF4, IED_RAW_CQ, IED_GYROX, IED_GYROY, IED_MARKER, IED_TIMESTAMP 
119,0,3562.56,1024.62,7282.56,912.821,3809.23,4080.51,1285.13,4848.72,1175.9,3987.18,6710.77,0,1474.36,2050.77,15420,14201,1780,0,0.627,
81,0,3562.56,1024.62,7282.56,912.821,3809.23,4080.51,1285.13,4848.72,1175.9,3987.18,6710.77,0,1474.36,2050.77,15420,14201,1780,0,0.634816,
98,0,3562.56,1024.62,7282.56,912.821,3809.23,4080.51,1285.13,4848.72,1175.9,3987.18,6710.77,0,1474.36,2050.77,15420,14201,1780,0,0.767691,
58,0,3562.56,1024.62,7282.56,912.821,3809.23,4080.51,1285.13,4848.72,1175.9,3987.18,6710.77,0,1474.36,2050.77,15420,14201,1780,0,1.46333,
116,0,3562.56,1024.62,7282.56,912.821,3809.23,4080.51,1285.13,4848.72,1175.9,3987.18,6710.77,0,1474.36,2050.77,15420,14201,1780,0,1.91667,
237,0,3562.56,1024.62,7282.56,912.821,3809.23,4080.51,1285.13,4848.72,1175.9,3987.18,6710.77,0,1474.36,2050.77,15420,14201,1780,0,2.86242,
171,0,3562.56,1024.62,7282.56,912.821,3809.23,4080.51,1285.13,4848.72,1175.9,3987.18,6710.77,0,1474.36,2050.77,15420,14201,1780,0,3.35484,
205,0,3562.56,1024.62,7282.56,912.821,3809.23,4080.51,1285.13,4848.72,1175.9,3987.18,6710.77,0,1474.36,2050.77,15420,14201,1780,0,3.62059,
96,0,3562.56,1024.62,7282.56,912.821,3809.23,4080.51,1285.13,4848.72,1175.9,3987.18,6710.77,0,1474.36,2050.77,15420,14201,1780,0,3.77691,
192,0,3562.56,1024.62,7282.56,912.821,3809.23,4080.51,1285.13,4848.72,1175.9,3987.18,6710.77,0,1474.36,2050.77,15420,14201,1780,0,4.52727,
174,0,3562.56,1024.62,7282.56,912.821,3809.23,4080.51,1285.13,4848.72,1175.9,3987.18,6710.77,0,1474.36,2050.77,15420,14201,1780,0,5.39486,
82,0,5407.69,2685.38,2094.49,2049.23,7346.15,3724.23,956.667,3646.28,2296.03,8130.64,5462.69,81.6667,3352.18,6214.1,29128,14201,1780,0,5.68406,
11,0,21630.8,10741.5,8377.95,8196.92,29384.6,14896.9,3826.67,14585.1,9184.1,32522.6,21850.8,326.667,13408.7,24856.4,29128,14201,1780,0,6.1374,
60,0,21630.8,10741.5,8377.95,8196.92,29384.6,14896.9,3826.67,14585.1,9184.1,32522.6,21850.8,326.667,13408.7,24856.4,29128,14201,1780,0,6.52039,
220,0,21630.8,10741.5,8377.95,8196.92,29384.6,14896.9,3826.67,14585.1,9184.1,32522.6,21850.8,326.667,13408.7,24856.4,29128,14201,1780,0,7.77097,
245,0,21630.8,10741.5,8377.95,8196.92,29384.6,14896.9,3826.67,14585.1,9184.1,32522.6,21850.8,326.667,13408.7,24856.4,29128,14201,1780,0,7.96638,
15,0,21630.8,10741.5,8377.95,8196.92,29384.6,14896.9,3826.67,14585.1,9184.1,32522.6,21850.8,326.667,13408.7,24856.4,29128,14201,1780,0,7.17695,
117,0,21630.8,10741.5,8377.95,8196.92,29384.6,14896.9,3826.67,14585.1,9184.1,32522.6,21850.8,326.667,13408.7,24856.4,29128,14201,1780,0,7.97419,
252,0,21630.8,10741.5,8377.95,8196.92,29384.6,14896.9,3826.67,14585.1,9184.1,32522.6,21850.8,326.667,13408.7,24856.4,29128,14201,1780,0,9.02938,
235,0,21630.8,10741.5,8377.95,8196.92,29384.6,14896.9,3826.67,14585.1,9184.1,32522.6,21850.8,326.667,13408.7,24856.4,29128,14201,1780,0,9.90479,
77,0,21630.8,10741.5,8377.95,8196.92,29384.6,14896.9,3826.67,14585.1,9184.1,32522.6,21850.8,326.667,13408.7,24856.4,29128,14201,1780,0,9.67812,
66,0,21630.8,10741.5,8377.95,8196.92,29384.6,14896.9,3826.67,14585.1,9184.1,32522.6,21850.8,326.667,13408.7,24856.4,29128,14201,1780,0,10.6004,
209,0,21630.8,10741.5,8377.95,8196.92,29384.6,14896.9,3826.67,14585.1,9184.1,32522.6,21850.8,326.667,13408.7,24856.4,29128,14201,1780,0,11.718,
83,1,5379.87,2726.03,2141.54,2097.95,7274.1,3734.23,1029.49,3657.56,2337.82,8039.87,5432.82,173.718,3371.28,6167.31,28466,14201,1780,0,12.2303,
84,1,5352.05,2766.67,2188.59,2146.67,7202.05,3744.23,1102.31,3668.85,2379.62,7949.1,5402.95,265.769,3390.38,6120.51,27804,14201,1780,0,12.2342,
85,1,5324.23,2807.31,2235.64,2195.38,7130,3754.23,1175.13,3680.13,2421.41,7858.33,5373.08,357.821,3409.49,6073.72,27142,14201,1780,0,12.2381,
86,1,5296.41,2847.95,2282.69,2244.1,7057.95,3764.23,1247.95,3691.41,2463.21,7767.56,5343.21,449.872,3428.59,6026.92,26480,14201,1780,0,12.2421,
87,1,5268.59,2888.59,2329.74,2292.82,6985.9,3774.23,1320.77,3702.69,2505,7676.79,5313.33,541.923,3447.69,5980.13,25818,14201,1780,0,12.246,
88,1,5240.77,2929.23,2376.79,2341.54,6913.85,3784.23,1393.59,3713.97,2546.79,7586.03,5283.46,633.974,3466.79,5933.33,25156,14201,1780,0,12.25,
89,1,5212.95,2969.87,2423.85,2390.26,6841.79,3794.23,1466.41,3725.26,2588.59,7495.26,5253.59,726.026,3485.9,5886.54,24494,14201,1780,0,12.2539,
90,1,5185.13,3010.51,2470.9,2438.97,6769.74,3804.23,1539.23,3736.54,2630.38,7404.49,5223.72,818.077,3505,5839.74,23832,14201,1780,0,12.2578,
